@relation 'song-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-V-R16,73,86,92-93,95,99,105-106,108,112-114,117,120-122,124-125,129,136,140,143,146,150,154-157,159-160,164,169,173-174,178'

@attribute pitches2-med numeric
@attribute pitches10-var numeric
@attribute timbre0-med numeric
@attribute timbre1-mean numeric
@attribute timbre1-med numeric
@attribute timbre1-min numeric
@attribute timbre2-mean numeric
@attribute timbre2-krt numeric
@attribute timbre3-mean numeric
@attribute timbre3-var numeric
@attribute timbre3-krt numeric
@attribute timbre4-mean numeric
@attribute timbre4-med numeric
@attribute timbre4-max numeric
@attribute timbre5-mean numeric
@attribute timbre5-med numeric
@attribute timbre5-var numeric
@attribute timbre5-max numeric
@attribute timbre5-skw numeric
@attribute timbre6-var numeric
@attribute timbre7-var numeric
@attribute timbre7-krt numeric
@attribute timbre8-var numeric
@attribute timbre8-skw numeric
@attribute timbre9-var numeric
@attribute timbre9-krt numeric
@attribute timbre10-mean numeric
@attribute timbre10-med numeric
@attribute timbre10-var numeric
@attribute timbre10-max numeric
@attribute timbre10-skw numeric
@attribute timbre11-var numeric
@attribute loudmax-mean numeric
@attribute loudmax-max numeric
@attribute loudmax-skw numeric
@attribute genre {Pop_Rock,Electronic,Rap,Jazz,Latin,RnB,International,Country,Religious,Reggae,Blues,Vocal,Folk,New,Comedy_Spoken,Stage,Easy_Listening,Avant_Garde,Classical,Children,Holiday}

@data
0.0505,0.113772,36.866,-39.3156,-45.5975,-150.221,-32.1845,0.063349,-30.5774,1335.42,8.642238,5.90267,3.975,104.433,-12.3834,-14.853,477.511,68.898,0.722828,547.509,552.047,3.58781,434.244,-0.459764,352.278,2.695771,-1.72496,0.6095,252.732,46.68,-0.714323,362.011,-20.2369,-7.671,-0.562342,Folk
0.284,0.062614,46.072,-10.6114,-5.1225,-237.74,-12.836,0.31935,9.56225,1213.66,1.625653,-26.0847,-27.755,118.948,12.0938,6.746,1350.03,186.407,0.801442,666.215,684.025,0.139559,350.372,-0.913233,537.638,0.03159,-0.679398,-0.9565,364.98,78.278,0.370164,296.022,-10.6758,-2.627,-2.616468,Blues
0.353,0.054213,42.366,-18.7436,-31.201,-227.903,-19.2231,-0.644162,64.5568,4318.14,0.681193,-22.9092,-29.911,177.174,-9.606,-12.132,2433.7,270.684,0.666726,805.517,3899.36,0.792884,549.891,0.786259,975.063,0.307842,-0.766273,3.51,857.192,103.989,-0.310902,437.345,-13.4764,-5.871,-2.385541,Pop_Rock
0.325,0.078575,46.66,129.172,148.721,-280.354,34.7345,1.662859,-4.56729,1289.09,26.418726,-18.0531,-24.714,153.262,-16.7986,-18.9575,457.964,181.27,2.483521,521.414,319.943,25.759521,322.28,0.820226,248.59,4.520527,-5.01324,-4.7715,190.976,115.318,-0.160745,214.784,-13.4396,-1.58,-2.588332,Electronic
0.27,0.092672,41.538,-65.0609,-66.704,-173.338,-14.7885,2.696005,-4.08844,1592.1,2.173436,8.04141,8.005,118.356,-12.1281,-16.592,875.271,87.814,0.568032,531.464,525.902,2.049461,238.336,0.040085,339.871,1.117099,4.2925,5.13,235.538,50.161,-0.285114,233.844,-15.4566,-6.318,-2.792535,Jazz
0.299,0.103989,45.068,-39.7836,-41.881,-182.719,24.2581,0.690821,-10.2553,379.44,1.952352,15.0173,17.834,67.741,-16.6116,-17.949,221.11,162.598,2.346578,363.548,367.906,3.870881,334.691,-1.381647,256.454,4.951549,1.74186,1.743,103.744,83.067,0.596424,247.09,-13.159,-6.231,-1.532216,Pop_Rock
0.1855,0.060528,47.8195,11.5439,9.1675,-156.974,10.4719,1.798097,-5.90838,1604.63,14.625727,-27.2878,-25.1365,70.25,-10.4386,-12.574,749.137,256.475,1.621552,778.522,291.812,4.762272,461.374,0.650929,245.589,2.867041,-0.806639,0.406,243.473,79.435,-0.227364,343.555,-9.4177,-2.015,-2.713824,Pop_Rock
0.804,0.061574,51.2095,50.7102,52.5275,-85.431,32.0934,2.775169,-5.84171,470.11,33.34559,-38.6908,-37.592,63.874,-20.6203,-21.8025,336.377,82.543,1.372713,654.422,306.861,4.761555,287.638,-0.04235,193.229,2.553082,0.786419,0.6685,100.955,51.212,-0.669742,248.78,-7.31748,-3.73,-7.212291,Pop_Rock
0.2565,0.0372,47.3185,46.1729,45.8735,-96.444,27.0395,-0.319041,-0.098579,1088.49,12.717022,9.67535,6.9275,132.692,-8.0817,-9.9675,649.397,122.909,0.466588,529.377,329.09,3.218692,520.202,0.433188,281.93,2.690412,-2.3986,-1.8625,218.616,42.073,-0.484966,296.08,-9.64443,-1.357,-2.461528,Pop_Rock
0.146,0.034271,49.539,21.2901,23.437,-126.635,34.8241,1.174942,-6.62009,601.6,4.093059,-27.5388,-30.328,42.006,-20.3452,-23.647,294.611,83.342,1.684455,554.448,547.047,0.758479,503.732,-0.690278,292.243,4.719682,-1.95369,-1.82,142.831,47.483,-0.186001,263.395,-10.193,-5.188,-2.74135,Pop_Rock
0.211,0.036431,23.912,30.463,25.8345,-137.204,131.25,-1.189091,34.9149,1193.38,-0.038076,30.0903,24.503,192.133,-25.1656,-24.7515,278.763,68.065,1.551866,1496.71,309.988,1.559111,1073.54,-0.667097,197.036,5.28264,-4.37179,-4.3335,141.062,35.023,0.006916,937.607,-32.4975,-16.762,-0.572166,Stage
0.44,0.076834,46.464,68.9056,72.256,-121.869,-19.6134,-0.088209,16.724,875.152,12.333378,10.4577,9.76,87.823,-13.0781,-15.147,791.73,85.053,0.291269,850.79,542.731,0.032638,158.74,0.059754,224.714,0.268434,8.99794,8.419,272.169,99.667,0.159191,382.921,-9.80304,-2.016,-1.962732,Pop_Rock
0.37,0.034972,51.014,30.8296,41.145,-127.613,8.2059,2.081118,-8.19257,1054.2,44.345351,-6.21515,-7.189,96.177,-20.2644,-23.243,561.663,89.668,1.053768,320.568,272.155,3.368367,234.307,-0.148482,176.233,0.690725,-1.50941,-1.706,191.83,45.314,-0.610225,153.677,-6.61898,-1.287,-1.779459,Pop_Rock
0.1275,0.031713,41.8485,-10.8794,-18.3585,-217.18,10.7648,1.041333,1.11204,1014.61,17.547428,-20.2334,-20.214,54.614,-0.6839,-7.0485,1038.43,180.99,0.888439,199.984,418.88,1.875426,227.239,-0.182468,283.774,1.398353,-0.446667,-1.785,275.106,68.29,0.802298,125.21,-16.0694,-6.489,-2.700158,Pop_Rock
0.142,0.068219,46.374,5.60678,10.033,-229.709,-13.5684,-0.381069,-8.14183,1705,1.039352,17.1191,14.591,164.623,-16.3173,-21.609,953.177,121.298,0.690553,922.747,385.229,1.305928,351.702,0.256624,248.018,7.4629,-1.13462,-0.755,277.383,68.856,-0.077551,409.531,-11.1001,-1.475,-1.383251,Electronic
0.4435,0.007036,46.672,-5.41523,-8.3155,-86.579,47.8046,2.722308,-6.52828,297.055,23.678357,4.31716,3.8365,52.848,-23.4994,-22.831,118.127,55.164,1.694028,174.898,134.382,22.543557,173.943,0.427271,92.5903,2.412562,0.01925,0.299,90.1935,42.409,-3.032936,198.791,-12.5249,-8.417,-3.73568,Pop_Rock
0.555,0.102465,42.5815,19.8302,20.9615,-87.26,16.5196,-0.250831,4.46332,1275.1,19.393223,-5.54276,-8.598,122.364,-2.90974,-9.2165,931.139,102.394,0.735954,531.778,363.555,2.12087,349.949,-0.004138,303.295,1.127007,0.036308,0.4105,216.782,45.327,-0.115447,215.977,-13.8779,-5.507,-2.800679,Country
0.131,0.045137,44.0085,29.6232,32.7125,-169.118,25.0468,5.992236,-16.0221,1175.42,32.980929,3.84067,8.256,115.029,-11.7122,-12.6405,390.916,63.401,-1.336782,1401.29,386.102,0.213131,354.095,-0.008261,340.584,1.209078,1.32164,3.211,182.735,57.199,-0.240998,232.018,-13.5847,-3.983,-0.582037,Pop_Rock
0.1965,0.025529,45.387,-27.4973,-30.567,-141.29,-17.1649,-1.187764,12.0955,2042.32,6.607789,-28.3254,-28.9965,71.697,-6.77046,-12.7105,1061.36,210.653,1.468928,287.286,673.381,0.569485,226.754,0.411694,454.261,1.516929,3.95601,3.536,269.816,68.344,-0.256664,154.564,-10.9989,-3.855,-2.362938,Pop_Rock
0.383,0.079766,50.745,45.4693,44.975,-158.999,22.8348,1.229489,-6.20575,456.66,3.884717,-19.855,-21.597,100.93,-16.6001,-18.837,450.746,139.696,1.183548,440.733,555.938,2.707785,319.155,-0.402987,289.125,3.697621,-4.01716,-4.019,168.37,64.885,-0.293308,189.176,-7.00498,-2.313,-8.299186,Pop_Rock
0.655,0.08122,42.441,-0.914866,-1.253,-182.067,-15.4997,0.059969,-2.23761,2752.13,0.332286,12.0649,12.686,137.768,8.43524,4.248,1883.85,191.653,0.771316,1190.43,1434.1,0.805005,878.275,0.141759,967.459,0.754344,-5.52134,-5.784,742.176,89.576,0.175987,389.496,-12.5981,-4.367,-1.364017,Rap
0.345,0.047041,36.413,-53.168,-51.818,-199.018,-6.53922,-0.269308,28.4234,2096.58,0.860384,23.0321,22.695,122.785,7.328,3.963,1793.56,188.349,0.40831,982.867,619.177,0.990707,308.781,-0.187539,339.637,-0.082689,-4.09768,-3.703,532.78,85.664,0.11008,192.712,-17.2338,-7.744,-1.565992,Jazz
0.081,0.124486,40.842,-51.4325,-42.417,-224.83,24.7851,-0.561243,-14.0273,3863.91,6.214157,5.57353,4.715,115.262,-12.2153,-20.049,1758.7,242.812,2.63055,703.935,469.517,11.023582,538.589,0.016015,235.949,8.850296,1.2846,3.799,391.481,72.773,-1.352718,307.658,-19.7531,-4.782,-1.160443,Jazz
0.306,0.025443,41.439,-35.2121,-34.319,-152.945,40.0848,0.485598,-8.88413,1025.6,2.765054,2.49418,0.163,121.244,-18.3015,-20.347,287.195,49.533,0.812191,640.582,302.333,5.316929,486.634,0.060451,219.542,4.327897,1.61941,2.428,166.779,54.71,-0.201688,329.858,-17.4244,-5.82,-0.648178,Religious
0.233,0.069251,40.091,77.5179,71.719,-106.186,-14.1692,0.673383,6.75024,5010.68,0.436138,-6.76713,-7.576,141.555,27.1028,21.244,2292.26,275.157,0.72694,1130.99,1316.03,0.321114,802.868,0.282591,672.193,0.580278,-17.7282,-15.268,909.129,86.829,-0.372039,400.542,-14.4095,-3.11,-1.53428,Rap
0.245,0.072753,39.112,-30.4375,-35.356,-157.618,27.5592,0.675195,-7.91288,1520.87,5.246474,-9.87243,-9.173,116.928,-7.15488,-10.807,533.879,93.07,0.719425,812.058,513.159,3.243711,846.145,0.231443,453.104,0.225723,-0.099088,1.101,244.638,48.688,-1.657772,543.791,-17.4374,-7.235,-1.315569,Country
0.097,0.114164,42.5635,-16.5296,-19.179,-255.078,-26.5838,3.366669,3.7257,1911.39,1.183813,12.9811,14.4285,161.958,-8.60519,-14.842,1115.74,241.17,1.290158,1101.81,728.039,0.187933,477.554,-0.369919,566.629,0.274897,1.29075,1.055,406.444,79.491,0.165958,337.636,-14.6451,-4.752,-2.242764,RnB
0.184,0.059157,45.542,17.2417,17.8825,-122.475,25.4117,0.561136,3.62513,815.84,1.976121,-36.2861,-32.9025,57.491,-3.65834,-6.2085,662.076,221.483,0.898163,621.023,250.608,0.245125,395.346,-0.301854,167.069,0.568346,3.94616,3.8345,213.304,57.542,-0.047491,489.328,-11.6329,-4.86,-2.654453,Pop_Rock
0.438,0.017538,39.647,-4.68724,-6.705,-159.47,7.53895,1.004489,-22.0875,868.585,7.221065,0.636815,-0.624,95.613,-7.37016,-10.705,458.784,152.7,1.108753,735.44,285.075,5.305868,259.497,0.375955,212.763,2.076073,5.19573,6.006,182.025,36.947,-0.506016,322.204,-17.4124,-7.634,-1.147078,Blues
0.213,0.047342,36.894,-28.5681,-31.018,-185.578,23.6059,0.069587,-2.88442,1999.68,2.25639,-1.20994,-1.877,86.46,-6.77404,-13.319,841.251,138.536,1.114273,682.563,301.245,1.244275,648.511,0.464677,241.807,1.826044,0.539917,1.68,333.235,58.225,-0.643549,499.398,-19.9908,-6.399,-1.338348,RnB
0.379,0.061913,51.198,-44.7918,-36.05,-221.314,33.4707,1.279518,12.3359,1462.19,6.677751,31.5351,30.018,141.649,-22.1296,-23.824,350.058,115.072,1.506725,363.663,324.016,5.959307,355.998,-0.585089,203.837,0.875348,6.27053,5.042,145.06,89.622,0.478736,366.781,-9.00575,-2.478,-1.932105,Pop_Rock
0.218,0.018794,38.516,-82.8384,-86.087,-230.824,18.2108,0.110185,-10.4133,2115.21,1.507918,33.508,35.185,146.82,-4.22497,-8.902,993.382,169.986,1.14677,965.682,645.127,4.326476,397.474,0.306897,323.677,1.807539,-3.52822,-1.374,463.534,110.713,-0.206593,337.12,-18.6292,-7.486,-0.884205,Folk
0.298,0.112206,39.462,-73.5704,-75.29,-158.86,-8.58079,0.295883,-7.5139,2566.84,3.714246,6.18212,5.7,90.146,18.9319,12.987,1266.52,159.201,0.924583,408.67,619.875,4.725837,444.722,-0.339005,318.086,0.979654,-3.06757,-2.131,507.392,63.826,-0.165114,278.802,-15.3351,-5.436,-0.246818,Blues
0.236,0.074489,48.769,32.1361,34.295,-134.968,-18.2994,1.000468,-5.44678,2456.65,2.640612,34.9432,35.6495,144.73,-1.50421,-8.3625,1388.26,194.128,1.165285,766.659,655.522,1.991264,476.629,0.018344,356.325,0.523066,-2.08128,-1.1,468.347,76.206,-0.163808,481.247,-8.14558,-2.415,-4.016682,Pop_Rock
0.406,0.076998,46.717,10.8148,11.687,-143.029,-4.48127,0.8874,6.57421,1725.96,5.743587,-0.389608,-2.687,98.968,-4.0734,-8.248,1031.73,169.863,0.501039,425.338,618.993,1.518444,576.513,0.17973,373.177,0.835851,-3.13124,-3.963,395.502,106.943,0.405671,230.707,-9.17845,-1.982,-2.031956,Rap
0.175,0.077964,52.387,29.0234,33.781,-120.755,28.5899,0.525842,-1.39582,1200.74,4.255114,-20.1543,-23.7145,88.853,-13.0812,-18.7965,851.107,195.051,1.939911,549.461,526.964,1.74119,497.491,-0.504258,295.599,2.051818,-2.9025,-2.795,222.575,65.698,-0.075989,239.583,-8.81085,-1.048,-1.733039,Pop_Rock
0.066,0.046729,28.467,-10.7578,-13.633,-171.259,-12.2959,0.01347,-3.30341,3486.29,1.953353,-20.234,-22.387,103.545,8.73928,3.786,1420.82,156.7,0.762994,659.131,631.488,2.293811,522.667,1.050642,400.76,1.504238,-5.98448,-3.825,471.219,74.6,-0.245705,254.032,-25.8051,-6.527,-0.134414,Pop_Rock
0.5835,0.071639,40.7975,16.8763,16.23,-120.897,-10.0143,-0.071604,17.0369,3171.96,0.535009,0.077581,0.736,120.585,-1.75148,-6.1775,1378.99,142.352,0.662532,780.703,590.172,1.179385,594.466,0.865307,348.443,1.594334,3.4543,3.5745,517.312,109.23,0.012826,310.221,-14.56,-6.64,-1.414446,Religious
0.1565,0.083282,39.2765,26.7367,30.306,-108.3,18.9564,0.378448,-10.7638,923.497,2.267723,-18.3518,-17.0635,87.939,-13.0696,-16.5225,382.384,120.823,1.568856,677.638,445.12,1.872918,335.363,0.185039,236.603,1.161956,1.54906,1.707,155.71,73.999,-0.05357,424.074,-19.3123,-10.423,-1.203104,Latin
0.327,0.041584,50.875,15.1848,16.726,-60.337,49.3514,8.656973,3.76548,597.403,97.002927,-39.6946,-37.926,38.262,-21.1886,-23.512,245.949,75.481,1.611444,253.227,339.054,5.757512,266.177,-0.507813,183.817,1.534897,-1.31555,-1.896,134.034,32.819,-2.169896,332.198,-7.65144,-2.283,-2.62821,Pop_Rock
0.224,0.063651,44.3945,23.7289,25.0905,-46.041,10.3952,1.38938,-6.88083,496.755,2.22502,-4.15165,-3.748,68.908,-12.9654,-16.5845,452.089,128.925,1.299036,413.465,183.206,1.830395,398.948,-0.083078,161.564,1.432274,0.859906,1.2285,151.964,73.562,0.343724,283.014,-14.253,-7.653,-3.873041,Blues
0.423,0.10597,34.1185,-94.9831,-90.4425,-331.355,-92.9074,-0.436866,47.5399,6684.04,-0.491197,-10.3989,-16.036,188.358,-12.8655,-18.0885,2974.24,222.347,0.705994,1375.07,1125.19,0.220815,740.85,-0.68959,599.12,0.845365,0.647444,2.29,669.534,83.375,-0.358801,309.278,-17.9649,-4.561,-1.259943,Pop_Rock
0.1645,0.099039,43.539,57.9236,62.218,-84.437,-26.8848,-0.050907,-14.4036,1655.75,11.41491,-28.2745,-30.304,136.816,1.6102,-0.5855,1240.15,196.489,0.43484,702.343,681.988,0.313165,379.501,-0.220364,456.907,1.485326,-3.87745,-4.612,365.929,76.796,0.108122,285.46,-12.2786,-5.254,-1.340025,Pop_Rock
0.62,0.054994,52.322,61.9848,62.392,-33.576,49.138,5.535181,-5.71527,242.374,2.720332,-43.0444,-42.48,4.507,-21.6346,-21.715,134.146,110.573,2.622253,199.489,151.136,0.02969,149.318,0.032287,92.284,0.906679,-0.737145,-0.534,70.2251,75.294,1.112678,94.5506,-5.88777,-2.788,-1.38296,Pop_Rock
0.1185,0.043789,29.3115,-138.91,-146.063,-213.963,74.7703,-0.457436,26.7828,933.98,1.835194,34.3759,34.892,113.219,-12.8989,-17.1235,569.262,88.746,1.011325,982.285,272.107,6.439929,572.324,0.045969,94.5813,6.401435,7.5189,6.903,106.393,57.382,0.492007,358.944,-28.0298,-15.595,-0.459946,New
0.082,0.084757,41.057,-40.7458,-40.655,-183.554,20.9613,1.845565,-9.64197,1192.87,14.27115,-8.38951,-13.036,113.971,-17.4721,-19.689,416.424,57.703,-0.229703,489.768,349.574,8.083863,592.208,0.57871,212.146,1.403991,-1.74475,-1.339,143.851,53.464,-0.244455,335.522,-15.7548,-1.907,-0.962978,Pop_Rock
0.146,0.047336,39.181,-5.75067,-2.2475,-148.211,63.5265,0.350992,0.558182,2015.73,7.952668,-1.5665,-3.473,133.094,-5.31357,-9.9935,650.057,98.191,1.09876,1249.78,447.245,1.808554,478.425,0.274549,270.193,1.85044,-4.84666,-3.1125,316.781,52.746,-0.691316,616.028,-18.769,-4.534,-0.759335,RnB
0.279,0.073668,51.56,17.1171,34.941,-291.722,37.5142,2.28053,-3.91199,414.892,2.456171,-31.6166,-32.037,73.911,-23.1545,-23.794,209.425,73.645,0.338621,691.434,231.665,1.072824,256.502,-0.307472,129.292,2.687602,0.574069,0.324,81.9002,44.504,0.078519,312.529,-8.87261,-2.33,-2.273922,Pop_Rock
0.649,0.0654,46.444,-3.43806,-3.638,-220.282,8.79624,1.126515,9.67432,1709.79,5.291762,3.47974,4.929,126.341,-23.4013,-26.241,855.909,131.472,0.55211,635.003,469.467,3.14161,871.888,0.389275,330.807,1.032882,6.8966,7.209,255.292,83.485,-0.607096,467.543,-10.6428,-2.424,-1.7095,Pop_Rock
