@relation 'song-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-V-R3,86,92-93,108,112,118,120-121,129,132,136,143,150,155,157,164,170,179-181,193,200,202,210,217,219,225,265,271,304,337,349,385,390,436,441,589,601,178'

@attribute pitches0-var numeric
@attribute timbre0-med numeric
@attribute timbre1-mean numeric
@attribute timbre1-med numeric
@attribute timbre3-var numeric
@attribute timbre3-krt numeric
@attribute timbre4-skw numeric
@attribute timbre5-mean numeric
@attribute timbre5-med numeric
@attribute timbre6-var numeric
@attribute timbre6-skw numeric
@attribute timbre7-var numeric
@attribute timbre8-var numeric
@attribute timbre9-var numeric
@attribute timbre10-mean numeric
@attribute timbre10-var numeric
@attribute timbre11-var numeric
@attribute loudmax-med numeric
@attribute seglen-mean numeric
@attribute seglen-med numeric
@attribute seglen-var numeric
@attribute chordsize-mean numeric
@attribute chordfreq-mean numeric
@attribute chordfreq-var numeric
@attribute rep0-max numeric
@attribute rep0-krt numeric
@attribute intra0-posmax numeric
@attribute intra0-negmax numeric
@attribute inter1-posmean numeric
@attribute inter1-negmean numeric
@attribute inter2-negmean numeric
@attribute inter3-negmean numeric
@attribute rep4-krt numeric
@attribute intra5-posmean numeric
@attribute intra5-negmax numeric
@attribute inter6-negmean numeric
@attribute rep7-max numeric
@attribute intra11-negmean numeric
@attribute inter11-negmean numeric
@attribute genre {Pop_Rock,Electronic,Rap,Jazz,Latin,RnB,International,Country,Religious,Reggae,Blues,Vocal,Folk,New,Comedy_Spoken,Stage,Easy_Listening,Avant_Garde,Classical,Children,Holiday}

@data
0.053556,37.017,-4.82531,-4.888,1376.06,1.9516,0.0348,-8.91261,-14.874,569.486,-0.639578,394.587,286.538,341.117,8.46455,367.424,309.548,-18.1565,0.001057,0.000735,0.000001,1.941737,8,317.559322,0.991986,4.195901,0.997389,0.994505,0.307479,-0.313706,-0.341332,-0.262589,29.657769,0.33084,0.154519,-0.267786,0.439443,-0.209369,-0.30712,New
0.006803,48.0695,-10.9849,-8.901,645.547,5.28411,-0.160431,-10.4952,-12.5555,279.713,0.313228,260.117,188.865,254.549,4.39429,154.019,159.638,-8.7105,0.001667,0.001336,0.000002,1.756667,25,3138.25,0.998249,2.292279,0.9995,0.998962,0.293168,-0.283478,-0.28435,-0.278007,0.433718,0.405977,0.275644,-0.286963,0.616237,0.617767,-0.257386,Pop_Rock
0.065659,43.209,-28.056,-30.651,1470.75,2.548868,0.180783,3.71951,-2.689,543.376,-0.118134,495.885,514.155,268.225,-3.03134,338.963,441.634,-12.8895,0.001208,0.001188,0.000001,2.071342,8.892473,433.601341,0.997318,29.398352,0.998404,0.995802,0.332962,-0.343618,-0.357029,-0.286712,8.732252,0.382705,0.039694,-0.303034,0.209794,-0.189485,-0.321118,Pop_Rock
0.071478,52.557,17.6093,20.06,875.391,51.438261,-0.19622,-13.9828,-17.83,411.441,0.197194,351.459,227.362,216.828,-0.745489,165.544,167.99,-4.933,0.001391,0.00098,0.000001,1.974895,5.601563,105.333435,0.998593,-0.422127,0.999922,0.999878,0.323743,-0.316887,-0.32444,-0.305335,4.735884,0.686832,0.91154,-0.315485,0.125846,0.066282,-0.298372,Pop_Rock
0.071965,51.794,11.4218,7.734,920.091,42.586643,-0.286205,-4.74321,-6.924,369.099,-0.142681,370.33,437.539,250.974,-1.69065,197.743,225.598,-4.8695,0.001511,0.001244,0.000001,1.732224,8.697368,430.18473,0.998459,14.765091,0.999543,0.998619,0.317803,-0.315439,-0.328195,-0.291824,5.883069,0.342649,0.323346,-0.311889,0.138802,0.266426,-0.32809,Comedy_Spoken
0.065467,36.5335,-93.5208,-95.17,2673.11,4.336498,-0.033796,11.6293,3.067,1095.32,0.052317,464.722,986.786,316.825,-2.59249,504.682,526.889,-19.4975,0.002304,0.001816,0.000007,1.859447,4.09434,47.745817,0.99354,16.117172,0.996738,0.993403,0.409397,-0.355326,-0.318608,-0.31922,8.959008,0.475363,0.127526,-0.333823,0.18831,-0.004395,-0.364144,Pop_Rock
0.093003,41.273,-41.0135,-39.719,1290.93,1.617317,0.411075,-11.8844,-15.843,961.887,0.199133,463.914,734.379,378.652,-1.98154,230.906,666.745,-15.267,0.001115,0.000848,0.000001,1.685619,7.666667,263.350427,0.996583,-0.857293,0.999419,0.998194,0.370824,-0.361616,-0.35754,-0.301109,3.221881,0.514123,0.662764,-0.376497,0.131863,-0.114702,-0.367469,RnB
0.044421,39.885,29.7216,25.501,993.882,23.134575,0.399427,-18.7056,-19.669,324.056,-0.150189,463.359,310.34,247.052,3.24139,150.285,218.208,-17.73,0.000639,0.000471,0,1.983365,11.164286,581.594439,0.998173,2.58222,0.999535,0.999341,0.26678,-0.265962,-0.258514,-0.241058,2.035966,0.679704,0.956644,-0.25943,0.251298,-0.062259,-0.265252,Pop_Rock
0.033876,45.1875,-17.4543,-9.4835,953.137,28.613495,0.39852,7.17115,4.311,596.963,0.207205,229.168,216.071,232.386,4.40709,184.413,313.887,-11.8725,0.001684,0.001413,0.000004,1.979798,5.881188,129.807666,0.999078,6.83878,0.999381,0.997844,0.448897,-0.332291,-0.332619,-0.275518,4.735202,0.348665,0.039424,-0.426137,0.251703,-0.099522,-0.254344,Pop_Rock
0.063242,46.005,18.3458,13.928,973.394,33.011989,0.459164,-10.6306,-12.981,634.599,-0.546951,224.232,292.618,213.486,1.89508,214.102,227.906,-10.556,0.000681,0.000558,0,1.908781,9.601307,448.775685,0.998785,5.711018,0.999499,0.999135,0.27956,-0.245981,-0.247896,-0.247579,14.180838,0.41615,0.384084,-0.245851,0.297726,0.208922,-0.257999,Latin
0.080345,45.855,-33.0178,-29.064,2092.75,6.940546,1.353867,4.57129,3.049,820.267,-1.194312,498.987,537.375,318.964,-3.70921,303.778,401.557,-10.1395,0.000998,0.000802,0.000001,1.782218,6.673333,152.619956,0.996284,-0.122771,0.999325,0.998742,0.316116,-0.320667,-0.306492,-0.303625,5.176578,0.403753,0.686262,-0.314884,0.228806,-0.162832,-0.324828,International
0.045327,30.009,-71.9601,-73.682,2176.94,0.25722,-0.085866,-7.99637,-14.985,894.088,0.389758,680.826,378.652,401.682,0.543809,376.822,298.91,-25.1125,0.000483,0.000423,0,1.780299,12.401198,716.479759,0.987438,0.604175,0.996239,0.982938,0.274848,-0.273979,-0.323234,-0.226306,1.312857,0.287267,0.129416,-0.267463,0.31615,0.029365,-0.288387,Jazz
0.023963,36.866,-39.3156,-45.5975,1335.42,8.642238,0.263948,-12.3834,-14.853,547.509,-0.158597,552.047,434.244,352.278,-1.72496,252.732,362.011,-20.2775,0.00188,0.001472,0.000007,1.727444,6.487805,121.10351,0.996204,5.607021,0.998785,0.989265,0.281642,-0.259591,-0.359548,-0.271692,4.995328,0.495095,0.593846,-0.267929,0.193876,-0.129463,-0.29491,Folk
0.028503,46.072,-10.6114,-5.1225,1213.66,1.625653,0.518259,12.0938,6.746,666.215,0.081881,684.025,350.372,537.638,-0.679398,364.98,296.022,-9.5015,0.000971,0.001129,0,1.73301,10.842105,672.132964,0.995984,2.026538,0.998093,0.996335,0.30885,-0.281857,-0.297007,-0.239114,4.474685,0.32598,0.036058,-0.284323,0.340706,-0.122047,-0.302046,Blues
0.080365,42.366,-18.7436,-31.201,4318.14,0.681193,0.668885,-9.606,-12.132,805.517,-0.46456,3899.36,549.891,975.063,-0.766273,857.192,437.345,-11.786,0.001021,0.001164,0.000001,2.079673,10.092784,986.620257,0.993126,3.599945,0.999077,0.99813,0.284445,-0.224447,-0.297639,-0.234157,4.567235,0.407839,0.880285,-0.243925,0.700622,0.082898,-0.235275,Pop_Rock
0.058754,46.66,129.172,148.721,1289.09,26.418726,1.079879,-16.7986,-18.9575,521.414,0.929092,319.943,322.28,248.59,-5.01324,190.976,214.784,-11.537,0.001433,0.001231,0.000001,2.160689,7.831461,361.870471,0.997421,1.023275,0.999802,0.998353,0.478552,-0.457262,-0.362579,-0.258275,4.486697,0.605295,0.814024,-0.296854,0.218202,-0.079931,-0.287226,Electronic
0.062386,41.538,-65.0609,-66.704,1592.1,2.173436,0.044432,-12.1281,-16.592,531.464,-0.403473,525.902,238.336,339.871,4.2925,235.538,233.844,-14.18,0.001127,0.000946,0,1.667418,6.823077,117.422544,0.997336,5.570149,0.998281,0.9947,0.280434,-0.261771,-0.283137,-0.245419,8.256791,0.393598,0.798101,-0.28957,0.172276,-0.118131,-0.255751,Jazz
0.060387,45.068,-39.7836,-41.881,379.44,1.952352,-0.709755,-16.6116,-17.949,363.548,0.253868,367.906,334.691,256.454,1.74186,103.744,247.09,-12.597,0.001212,0.001096,0,1.871515,6.203008,169.605404,0.999435,3.6699,0.999777,0.999664,0.41524,-0.394714,-0.311567,-0.263657,3.074747,0.713416,0.758863,-0.29002,0.328986,0.630701,-0.311585,Pop_Rock
0.131283,47.8195,11.5439,9.1675,1604.63,14.625727,-0.052378,-10.4386,-12.574,778.522,0.015469,291.812,461.374,245.589,-0.806639,243.473,343.555,-9.0215,0.001348,0.001093,0.000001,2.020216,8.431818,353.995351,0.997108,5.555381,0.998454,0.996152,0.236247,-0.2324,-0.249624,-0.214607,13.168684,0.319585,0.1574,-0.256162,0.196704,0.43755,-0.216775,Pop_Rock
0.057327,51.2095,50.7102,52.5275,470.11,33.34559,-0.185497,-20.6203,-21.8025,654.422,-1.057385,306.861,287.638,193.229,0.786419,100.955,248.78,-6.4895,0.001558,0.001255,0.000002,2.11215,4.308725,84.092608,0.999111,5.839944,0.999922,0.999868,0.363981,-0.336375,-0.367881,-0.26271,7.66017,0.687759,0.760818,-0.350652,0.174661,-0.168468,-0.301519,Pop_Rock
0.12511,47.3185,46.1729,45.8735,1088.49,12.717022,0.484266,-8.0817,-9.9675,529.377,0.40425,329.09,520.202,281.93,-2.3986,218.616,296.08,-8.4845,0.001984,0.001717,0.000002,1.810757,5.837209,83.41536,0.997259,1.661703,0.999522,0.997293,0.324148,-0.313191,-0.299014,-0.293129,0.553875,0.32466,0.044337,-0.279784,0.371641,-0.088864,-0.300534,Pop_Rock
0.076778,49.539,21.2901,23.437,601.6,4.093059,0.040385,-20.3452,-23.647,554.448,-0.420374,547.047,503.732,292.243,-1.95369,142.831,263.395,-8.731,0.001546,0.001163,0.000001,1.488408,8.863014,352.446988,0.998976,3.923546,0.99992,0.999809,0.338066,-0.346944,-0.408168,-0.331064,2.890071,0.725962,0.931436,-0.327175,0.267317,0.209321,-0.340049,Pop_Rock
0.009967,23.912,30.463,25.8345,1193.38,-0.038076,0.758397,-25.1656,-24.7515,1496.71,-0.483471,309.988,1073.54,197.036,-4.37179,141.062,937.607,-33.146,0.005376,0.00362,0.000028,1.456989,4.769231,49.357002,0.994376,-1.19116,0.998953,0.997727,0.421965,-0.444731,-0.441357,-0.403265,0.028485,0.828179,0.849921,-0.486273,0.636131,0.072738,-0.399388,Stage
0.14079,46.464,68.9056,72.256,875.152,12.333378,0.006877,-13.0781,-15.147,850.79,-0.465943,542.731,158.74,224.714,8.99794,272.169,382.921,-9.233,0.000777,0.000858,0,1.972028,12.742574,841.458484,0.997442,6.191096,0.998651,0.996857,0.291385,-0.291411,-0.252782,-0.207749,10.279996,0.405669,0.175067,-0.25143,0.482281,-0.071306,-0.282872,Pop_Rock
0.07769,51.014,30.8296,41.145,1054.2,44.345351,0.230986,-20.2644,-23.243,320.568,-0.053598,272.155,234.307,176.233,-1.50941,191.83,153.677,-5.838,0.001383,0.001081,0,2.052559,5.519084,150.341239,0.998999,4.866741,0.999801,0.999578,0.367956,-0.390586,-0.319892,-0.304125,8.637728,0.663696,0.840302,-0.312426,0.332331,-0.217476,-0.317925,Pop_Rock
0.097126,41.8485,-10.8794,-18.3585,1014.61,17.547428,0.268127,-0.6839,-7.0485,199.984,-0.064337,418.88,227.239,283.774,-0.446667,275.106,125.21,-14.098,0.001126,0.001088,0,1.645198,10.411765,928.571626,0.997386,3.196638,0.999385,0.998856,0.38126,-0.377762,-0.359301,-0.309279,5.024125,0.47301,0.801275,-0.367439,0.299734,0.459698,-0.33641,Pop_Rock
0.059637,46.374,5.60678,10.033,1705,1.039352,0.538793,-16.3173,-21.609,922.747,0.173739,385.229,351.702,248.018,-1.13462,277.383,409.531,-9.797,0.00113,0.000891,0.000001,1.79322,8.428571,242.378231,0.9974,1.894157,0.999074,0.997873,0.303097,-0.290239,-0.321275,-0.238466,11.273748,0.494428,0.530677,-0.278195,0.112,-0.115964,-0.272055,Electronic
0.004675,46.672,-5.41523,-8.3155,297.055,23.678357,0.366336,-23.4994,-22.831,174.898,0.619823,134.382,173.943,92.5903,0.01925,90.1935,198.791,-11.668,0.005208,0.004002,0.000021,1.651042,7.68,228.9376,0.998073,0.011151,0.999926,0.99966,0.431903,-0.452568,-0.430845,-0.372099,5.624802,0.879008,0.901466,-0.398254,0.419549,0.019243,-0.372351,Pop_Rock
0.100454,42.5815,19.8302,20.9615,1275.1,19.393223,0.77159,-2.90974,-9.2165,531.778,-0.375475,363.555,349.949,303.295,0.036308,216.782,215.977,-13.6665,0.001603,0.001502,0.000002,1.814815,6.606383,105.366342,0.997386,13.384958,0.999192,0.997747,0.273205,-0.276301,-0.263102,-0.264437,18.421625,0.250023,0.204085,-0.269879,0.212828,-0.249375,-0.26384,Country
0.035862,44.0085,29.6232,32.7125,1175.42,32.980929,-0.114438,-11.7122,-12.6405,1401.29,-0.560578,386.102,354.095,340.584,1.32164,182.735,232.018,-13.3055,0.003086,0.002295,0.000008,1.743827,5.4,57.24,0.997711,4.54171,0.999082,0.997975,0.33318,-0.364546,-0.374628,-0.270757,5.315733,0.488029,0.458596,-0.376425,0.219832,0.315129,-0.347339,Pop_Rock
0.026638,45.387,-27.4973,-30.567,2042.32,6.607789,0.142652,-6.77046,-12.7105,287.286,0.055946,673.381,226.754,454.261,3.95601,269.816,154.564,-9.9945,0.000965,0.000896,0.000001,1.431467,15.462687,907.711294,0.997371,0.982187,0.999873,0.999567,0.291049,-0.288037,-0.360075,-0.273663,-0.383062,0.46035,0.670853,-0.292187,0.705358,0.012496,-0.257344,Pop_Rock
0.087269,50.745,45.4693,44.975,456.66,3.884717,0.767987,-16.6001,-18.837,440.733,-0.347074,555.938,319.155,289.125,-4.01716,168.37,189.176,-6.643,0.001156,0.000876,0.000004,1.752037,7.405172,362.051353,0.998898,5.000277,0.999757,0.999465,0.248516,-0.244628,-0.257659,-0.225398,4.605293,0.549607,0.762993,-0.231996,0.134166,-0.151771,-0.231144,Pop_Rock
0.057983,42.441,-0.914866,-1.253,2752.13,0.332286,-0.122136,8.43524,4.248,1190.43,-0.304638,1434.1,878.275,967.459,-5.52134,742.176,389.496,-12.399,0.001764,0.001589,0.000001,2.039007,5.174312,94.455854,0.995582,4.984905,0.997333,0.995304,0.257452,-0.271016,-0.274866,-0.26302,1.376066,0.275766,-0.138187,-0.261705,0.152768,-0.147964,-0.257064,Rap
0.106072,36.413,-53.168,-51.818,2096.58,0.860384,0.119903,7.328,3.963,982.867,-0.564156,619.177,308.781,339.637,-4.09768,532.78,192.712,-16.238,0.001236,0.001141,0.000001,1.781211,6.741667,164.374931,0.994145,0.625004,0.997565,0.995043,0.373733,-0.309343,-0.295653,-0.240302,5.063743,0.431819,0.645861,-0.262835,0.411574,0.042778,-0.251552,Jazz
0.091102,40.842,-51.4325,-42.417,3863.91,6.214157,0.380414,-12.2153,-20.049,703.935,-0.238236,469.517,538.589,235.949,1.2846,391.481,307.658,-15.099,0.001565,0.00084,0.000005,1.701095,6.264706,91.743656,0.982534,4.147081,0.995917,0.991782,0.459417,-0.455223,-0.456486,-0.434317,13.762568,0.325306,0.882484,-0.424349,0.128568,0.456608,-0.438481,Jazz
0.078778,41.439,-35.2121,-34.319,1025.6,2.765054,0.619822,-18.3015,-20.347,640.582,-0.380541,302.333,486.634,219.542,1.61941,166.779,329.858,-16.188,0.001675,0.001181,0.000002,1.678392,6.56044,117.565028,0.997605,-0.408188,0.99934,0.996837,0.412263,-0.38392,-0.333951,-0.313626,19.100887,0.696898,0.705548,-0.328797,0.203356,0.208667,-0.353994,Religious
0.122977,40.091,77.5179,71.719,5010.68,0.436138,0.049055,27.1028,21.244,1130.99,-0.194095,1316.03,802.868,672.193,-17.7282,909.129,400.542,-13.081,0.001172,0.00106,0,1.92966,6.716535,273.494451,0.989018,8.239268,0.995735,0.99031,0.223283,-0.213789,-0.22422,-0.213211,0.45615,0.430004,0.259851,-0.232716,0.284122,-0.057398,-0.242349,Rap
0.054511,39.112,-30.4375,-35.356,1520.87,5.246474,-0.146803,-7.15488,-10.807,812.058,-0.264115,513.159,846.145,453.104,-0.099088,244.638,543.791,-17.639,0.001517,0.001265,0.000002,1.629742,6.336538,101.184819,0.995833,28.068568,0.99831,0.99572,0.340439,-0.343338,-0.378297,-0.325213,9.901186,0.4551,0.663192,-0.368151,0.280353,0.031606,-0.359818,Country
0.070479,42.5635,-16.5296,-19.179,1911.39,1.183813,-0.141919,-8.60519,-14.842,1101.81,0.492291,728.039,477.554,566.629,1.29075,406.444,337.636,-12.854,0.001179,0.001007,0.000001,1.73467,7.008264,219.280923,0.994643,7.010374,0.99755,0.993531,0.282307,-0.25629,-0.319389,-0.24417,10.658137,0.353572,0.267187,-0.334393,0.190596,-0.11815,-0.271788,RnB
0.101679,45.542,17.2417,17.8825,815.84,1.976121,-0.458003,-3.65834,-6.2085,621.023,0.18635,250.608,395.346,167.069,3.94616,213.304,489.328,-10.6945,0.001082,0.000962,0,1.821429,8.324324,382.129048,0.99821,3.100361,0.999137,0.997922,0.342623,-0.330776,-0.319429,-0.275489,0.499787,0.394662,0.836158,-0.302467,0.223055,0.099532,-0.333999,Pop_Rock
0.029464,39.647,-4.68724,-6.705,868.585,7.221065,0.221041,-7.37016,-10.705,735.44,0.642616,285.075,259.497,212.763,5.19573,182.025,322.204,-17.767,0.001252,0.001135,0.000001,1.713392,8.322917,452.551975,0.997647,7.104586,0.999249,0.99764,0.355828,-0.340539,-0.34171,-0.274958,34.460522,0.385086,0.278337,-0.295637,0.320012,0.222395,-0.303166,Blues
0.04641,36.894,-28.5681,-31.018,1999.68,2.25639,-0.06978,-6.77404,-13.319,682.563,-0.052869,301.245,648.511,241.807,0.539917,333.235,499.398,-18.738,0.001318,0.000926,0.000001,1.761528,5.580882,101.69934,0.994014,7.323245,0.999008,0.993552,0.404177,-0.426287,-0.37408,-0.324897,27.579047,0.436558,0.708189,-0.371405,0.103864,-0.077601,-0.389168,RnB
0.086621,51.198,-44.7918,-36.05,1462.19,6.677751,0.625887,-22.1296,-23.824,363.663,-0.164297,324.016,355.998,203.837,6.27053,145.06,366.781,-6.709,0.000962,0.000657,0,2.013487,8.439024,346.099941,0.998561,-0.428093,0.999661,0.998678,0.29244,-0.269082,-0.322906,-0.25466,-0.379554,0.794874,0.93226,-0.264602,0.610797,0.208042,-0.297084,Pop_Rock
0.094355,38.516,-82.8384,-86.087,2115.21,1.507918,-0.045523,-4.22497,-8.902,965.682,-0.808542,645.127,397.474,323.677,-3.52822,463.534,337.12,-17.619,0.001277,0.000994,0.000001,1.779055,7.054054,148.033114,0.994405,-0.088814,0.99884,0.996586,0.336379,-0.340798,-0.350935,-0.326916,2.944043,0.370926,0.267588,-0.347889,0.108096,0.23335,-0.361903,Folk
0.07225,39.462,-73.5704,-75.29,2566.84,3.714246,-0.164017,18.9319,12.987,408.67,0.265646,619.875,444.722,318.086,-3.06757,507.392,278.802,-15.603,0.001745,0.001663,0.000002,1.846422,4.775,89.524375,0.995997,4.960921,0.998986,0.99822,0.269917,-0.273927,-0.313827,-0.250258,8.002222,0.455038,0.2419,-0.268893,0.250193,0.289035,-0.308952,Blues
0.1063,48.769,32.1361,34.295,2456.65,2.640612,-0.052419,-1.50421,-8.3625,766.659,-0.215047,655.522,476.629,356.325,-2.08128,468.347,481.247,-6.9095,0.001449,0.001284,0.000002,1.802899,6.831683,160.932065,0.995395,9.606074,0.996426,0.987605,0.312115,-0.274429,-0.19713,-0.190955,12.790763,0.242598,-0.141963,-0.207901,0.270166,-0.187045,-0.21985,Pop_Rock
0.119334,46.717,10.8148,11.687,1725.96,5.743587,0.108289,-4.0734,-8.248,425.338,-0.307673,618.993,576.513,373.177,-3.13124,395.502,230.707,-9.316,0.000918,0.000768,0,2.108233,9.239316,801.771788,0.99609,7.936677,0.99846,0.997487,0.273531,-0.264169,-0.259194,-0.254499,10.425202,0.24902,-0.052193,-0.249651,0.090029,0.023479,-0.270059,Rap
0.039946,52.387,29.0234,33.781,1200.74,4.255114,0.529153,-13.0812,-18.7965,549.461,0.134918,526.964,497.491,295.599,-2.9025,222.575,239.583,-5.493,0.001263,0.000995,0.000001,1.611111,8.164948,230.488256,0.998305,2.711492,0.999771,0.999543,0.296398,-0.323998,-0.293202,-0.255925,4.806604,0.624346,0.844109,-0.301133,0.123611,-0.174138,-0.277425,Pop_Rock
0.082074,28.467,-10.7578,-13.633,3486.29,1.953353,0.404461,8.73928,3.786,659.131,-0.599508,631.488,522.667,400.76,-5.98448,471.219,254.032,-25.949,0.001658,0.001493,0.000002,1.625207,6.775281,252.353996,0.979508,8.374533,0.987286,0.948658,0.332293,-0.312891,-0.369734,-0.299821,16.596348,0.386479,0.109112,-0.32401,0.258464,0.451125,-0.32935,Pop_Rock
0.051834,40.7975,16.8763,16.23,3171.96,0.535009,-0.053562,-1.75148,-6.1775,780.703,-0.146922,590.172,594.466,348.443,3.4543,517.312,310.221,-14.1385,0.000813,0.000793,0,1.93154,10.669565,1488.447335,0.994042,1.304913,0.998167,0.996237,0.279471,-0.2784,-0.276738,-0.253568,29.218092,0.261131,0.006712,-0.27285,0.103197,0.023281,-0.281691,Religious
0.039758,39.2765,26.7367,30.306,923.497,2.267723,0.016093,-13.0696,-16.5225,677.638,-0.49167,445.12,335.363,236.603,1.54906,155.71,424.074,-17.997,0.001608,0.00123,0.000002,1.733871,6.138614,122.574846,0.997112,0.48912,0.999235,0.99811,0.316151,-0.309822,-0.345855,-0.287194,9.939195,0.520618,0.677358,-0.346196,0.20444,0.039044,-0.327164,Latin
